Provincia,Departamento,Dominio_mas_frecuente
Chaco,2 DE ABRIL,yahoo
Misiones,25 DE MAYO,yahoo
Chaco,9 DE JULIO,hotmail
Buenos Aires,ADOLFO ALSINA,hotmail
Buenos Aires,ADOLFO GONZALES CHAVES,hotmail
Buenos Aires,ALBERTI,hotmail
Buenos Aires,ALMIRANTE BROWN,gmail
Buenos Aires,ARRECIFES,yahoo
La Pampa,ATREUCO,gmail
Buenos Aires,AVELLANEDA,yahoo
Buenos Aires,AZUL,yahoo
Neuquén,AÑELO,yahoo
Buenos Aires,BAHIA BLANCA,abrbp
Buenos Aires,BALCARCE,yahoo
Santiago del Estero,BANDA,live
Río Negro,BARILOCHE,hotmail
Santa Fe,BELGRANO,yahoo
Buenos Aires,BENITO JUAREZ,gmail
Buenos Aires,BERAZATEGUI,hotmail
Buenos Aires,BERISSO,yahoo
Chaco,BERMEJO,yahoo
Chubut,BIEDMA,hotmail
Buenos Aires,BOLIVAR,yahoo
Buenos Aires,BRAGADO,yahoo
Buenos Aires,BRANDSEN,hotmail
Córdoba,CALAMUCHITA,gmail
La Pampa,CALEU CALEU,hotmail
Buenos Aires,CAMPANA,yahoo
Misiones,CANDELARIA,gmail
Catamarca,CAPAYAN,yahoo
Buenos Aires,CAPITAN SARMIENTO,hotmail
Buenos Aires,CARLOS CASARES,gmail
Buenos Aires,CARLOS TEJEDOR,yahoo
Buenos Aires,CARMEN DE ARECO,yahoo
Santa Fe,CASEROS,yahoo
Santa Fe,CASTELLANOS,coopmj
Buenos Aires,CASTELLI,yahoo
Neuquén,CATAN LIL,yahoo
La Pampa,CATRILO,yahoo
Buenos Aires,CAÑUELAS,yahoo
Salta,CERRILLOS,yahoo
San Luis,CHACABUCO,hotmail
La Rioja,CHAMICAL,hotmail
La Pampa,CHAPALEUFU,gmail
La Rioja,CHILECITO,gmail
Buenos Aires,CHIVILCOY,hotmail
Neuquén,CHOS MALAL,yahoo
Ciudad de Buenos Aires,CIUDAD DE BUENOS AIRES,outlook
Jujuy,COCHINOCA,yahoo
Entre Ríos,COLON,yahoo
